orden,id_original,nombre,direccion,barrio,lat,lon,distancia_tramo_km,distancia_acumulada_km
81,54,EL VIEJO BUZÓN,Neuquén 1100,Caballito,-34.615898,-58.448852,0.87,56.99
82,30,CAFÉ SAN BERNARDO,Av. Corrientes 5436,Villa Crespo,-34.597863,-58.441098,2.13,59.12
83,79,MONTECARLO BAR Y DESPENSA,Paraguay 5491,Palermo,-34.577099,-58.43385,2.4,61.52
84,6,BAR CONDE,Av. Federico Lacroze 3193,Colegiales,-34.577801,-58.449427,1.43,62.95
85,80,MUSEO FOTOGRÁFICO SIMIK,Av. Federico Lacroze 3901,Chacarita,-34.584401,-58.453574,0.83,63.77
86,81,OCHO ESQUINAS,Av. Forest 1186,Chacarita,-34.578517,-58.460138,0.89,64.66
87,90,WATSON'S,Vuelta de Obligado 2072,Belgrano,-34.561811,-58.455426,1.91,66.57
88,62,LA ESCUELA,Manuela Pedraza 2803,Núñez,-34.553649,-58.469955,1.61,68.18
89,25,CAFÉ DE LA U,Av. Triunvirato 4801,Villa Urquiza,-34.573373,-58.487403,2.71,70.89
90,46,EL FARO,Av. de los Constituyentes 4099,Parque Chas,-34.584925,-58.488592,1.29,72.18
